date,service_id,exception_type
20250609,2025-06-09:PcS,1
20250610,2025-06-10:PcS,1
20250611,2025-06-11:PcS,1
20250618,2025-06-11:PcS,1
20250625,2025-06-11:PcS,1
20250702,2025-06-11:PcS,1
20250709,2025-06-11:PcS,1
20250612,2025-06-12:PcS,1
20250626,2025-06-12:PcS,1
20250703,2025-06-12:PcS,1
20250613,2025-06-13:PtS,1
20250620,2025-06-13:PtS,1
20250627,2025-06-13:PtS,1
20250704,2025-06-13:PtS,1
20250614,2025-06-14:SbS,1
20250621,2025-06-14:SbS,1
20250628,2025-06-14:SbS,1
20250705,2025-06-14:SbS,1
20250615,2025-06-15:NdS,1
20250619,2025-06-15:NdS,1
20250622,2025-06-15:NdS,1
20250629,2025-06-15:NdS,1
20250706,2025-06-15:NdS,1
20250616,2025-06-16:PcS,1
20250623,2025-06-16:PcS,1
20250630,2025-06-16:PcS,1
20250707,2025-06-16:PcS,1
20250617,2025-06-17:PcS,1
20250624,2025-06-17:PcS,1
20250701,2025-06-17:PcS,1
20250708,2025-06-17:PcS,1
20250615,NdM,1
20250619,NdM,1
20250622,NdM,1
20250629,NdM,1
20250706,NdM,1
20250609,PcM,1
20250610,PcM,1
20250611,PcM,1
20250612,PcM,1
20250616,PcM,1
20250617,PcM,1
20250618,PcM,1
20250623,PcM,1
20250624,PcM,1
20250625,PcM,1
20250626,PcM,1
20250630,PcM,1
20250701,PcM,1
20250702,PcM,1
20250703,PcM,1
20250707,PcM,1
20250708,PcM,1
20250709,PcM,1
20250613,PtM,1
20250620,PtM,1
20250627,PtM,1
20250704,PtM,1
20250614,SbM,1
20250621,SbM,1
20250628,SbM,1
20250705,SbM,1
