trip_id,stop_sequence,stop_id,arrival_time,departure_time,pickup_type,drop_off_type
2025-06-09:124:PcS:04:0809,0,402601,08:09:00,08:09:00,0,0
2025-06-09:124:PcS:04:0809,1,402501,08:09:00,08:09:00,3,3
2025-06-09:124:PcS:04:0809,2,402401,08:10:00,08:10:00,3,3
2025-06-09:124:PcS:04:0809,3,402301,08:11:00,08:11:00,3,3
2025-06-09:124:PcS:04:0809,4,402201,08:12:00,08:12:00,0,0
2025-06-09:124:PcS:04:0809,5,427901,08:13:00,08:13:00,3,3
2025-06-09:124:PcS:04:0809,6,402101,08:14:00,08:14:00,0,0
2025-06-09:124:PcS:04:0809,7,402001,08:15:00,08:15:00,0,0
2025-06-09:124:PcS:04:0809,8,401901,08:17:00,08:17:00,0,0
2025-06-09:124:PcS:04:0809,9,401801,08:19:00,08:19:00,3,3
2025-06-09:124:PcS:04:0809,10,401601,08:20:00,08:20:00,3,3
2025-06-09:124:PcS:04:0809,11,401551,08:22:00,08:22:00,0,0
2025-06-09:124:PcS:04:0809,12,401401,08:23:00,08:23:00,0,0
2025-06-09:124:PcS:04:0809,13,401201,08:25:00,08:25:00,0,0
2025-06-09:124:PcS:04:0809,14,401101,08:27:00,08:27:00,0,0
2025-06-09:124:PcS:04:0809,15,401001,08:28:00,08:28:00,0,0
2025-06-09:124:PcS:04:0809,16,400901,08:29:00,08:29:00,0,0
2025-06-09:124:PcS:04:0809,17,400851,08:29:00,08:29:00,0,0
2025-06-09:124:PcS:04:0843,1,400852,08:44:00,08:44:00,0,0
2025-06-09:124:PcS:04:0843,2,400902,08:44:00,08:44:00,0,0
2025-06-09:124:PcS:04:0843,3,401002,08:45:00,08:45:00,0,0
2025-06-09:124:PcS:04:0843,4,401102,08:47:00,08:47:00,0,0
2025-06-09:124:PcS:04:0843,5,401202,08:49:00,08:49:00,0,0
2025-06-09:124:PcS:04:0843,6,401352,08:50:00,08:50:00,0,0
2025-06-09:124:PcS:04:0843,7,401402,08:51:00,08:51:00,0,0
2025-06-09:124:PcS:04:0843,8,401506,08:52:00,08:52:00,0,0
2025-06-09:124:PcS:04:0843,9,401602,08:54:00,08:54:00,3,3
2025-06-09:124:PcS:04:0843,10,401802,08:55:00,08:55:00,3,3
2025-06-09:124:PcS:04:0843,11,401904,08:58:00,08:58:00,0,0
2025-06-09:124:PcS:04:0843,12,402002,08:59:00,08:59:00,0,0
2025-06-09:124:PcS:04:0843,13,402102,09:00:00,09:00:00,0,0
2025-06-09:124:PcS:04:0843,14,427902,09:01:00,09:01:00,3,3
2025-06-09:124:PcS:04:0843,15,402202,09:02:00,09:02:00,0,0
