stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_name_stem,town_name,street_name
200808,Wiatraczna,08,,52.245865,21.084594,0,,1,Wiatraczna,Warszawa,Zakole
200809,Wiatraczna,09,,52.243436,21.084143,0,,1,Wiatraczna,Warszawa,al. Stanów Zjednoczonych
200810,Wiatraczna,10,,52.243302,21.084587,0,,1,Wiatraczna,Warszawa,al. Stanów Zjednoczonych
200822,Wiatraczna,22,,52.244983,21.087144,0,,1,Wiatraczna,Warszawa,Grochowska
201001,Wspólna Droga,01,,52.244099,21.094242,0,,1,Wspólna Droga,Warszawa,Grochowska
201002,Wspólna Droga,02,,52.243502,21.096057,0,,1,Wspólna Droga,Warszawa,Grochowska
201101,Pl. Szembeka,01,,52.24262,21.101188,0,,1,Pl. Szembeka,Warszawa,Grochowska
201102,Pl. Szembeka,02,,52.242532,21.100668,0,,1,Pl. Szembeka,Warszawa,Grochowska
205803,PKP Gocławek,03,,52.240177,21.128744,0,,1,PKP Gocławek,Warszawa,Makowska
205804,PKP Gocławek,04,,52.240211,21.128105,0,,1,PKP Gocławek,Warszawa,Makowska
209601,Wał Miedzeszyński,01,,52.226494,21.054205,0,,2,Wał Miedzeszyński,Warszawa,most Łazienkowski
209602,Wał Miedzeszyński,02,,52.226379,21.05469,0,,2,Wał Miedzeszyński,Warszawa,most Łazienkowski
209701,Saska,01,,52.22842051,21.06184332,0,,1,Saska,Warszawa,al. Stanów Zjednoczonych
209702,Saska,02,,52.228669,21.063733,0,,1,Saska,Warszawa,al. Stanów Zjednoczonych
209801,Międzynarodowa,01,,52.22991126,21.06727527,0,,1,Międzynarodowa,Warszawa,al. Stanów Zjednoczonych
209802,Międzynarodowa,02,,52.22997,21.068713,0,,1,Międzynarodowa,Warszawa,al. Stanów Zjednoczonych
210001,Przyczółek Grochowski,01,,52.235666,21.078456,0,,1,Przyczółek Grochowski,Warszawa,al. Stanów Zjednoczonych
210002,Przyczółek Grochowski,02,,52.235398,21.078739,0,,1,Przyczółek Grochowski,Warszawa,al. Stanów Zjednoczonych
210501,Witolin,01,,52.236275,21.112945,0,,1,Witolin,Warszawa,Łukowska
210503,Witolin,03,,52.236611,21.112162,0,,1,Witolin,Warszawa,Łukowska
210504,Witolin,04,,52.23656,21.112402,0,,1,Witolin,Warszawa,Łukowska
210601,Tarnowiecka,01,,52.237096,21.104726,0,,1,Tarnowiecka,Warszawa,Łukowska
210602,Tarnowiecka,02,,52.23672,21.10642,0,,1,Tarnowiecka,Warszawa,Łukowska
210703,Łukowska,03,,52.238056,21.100865,0,,1,Łukowska,Warszawa,Łukowska
210704,Łukowska,04,,52.238134,21.100193,0,,1,Łukowska,Warszawa,Łukowska
210903,Chłopickiego,03,,52.246363,21.10476,0,,1,Chłopickiego,Warszawa,Szaserów
210904,Chłopickiego,04,,52.246038,21.105717,0,,1,Chłopickiego,Warszawa,Szaserów
211001,Osiedle Młodych,01,,52.248395,21.097016,0,,1,Osiedle Młodych,Warszawa,Szaserów
211002,Osiedle Młodych,02,,52.247932,21.098391,0,,1,Osiedle Młodych,Warszawa,Szaserów
211101,Garwolińska,01,,52.249936,21.091443,0,,1,Garwolińska,Warszawa,Szaserów
211102,Garwolińska,02,,52.24942,21.09299,0,,1,Garwolińska,Warszawa,Szaserów
211201,Szaserów-Szpital,01,,52.250229,21.087528,0,,1,Szaserów-Szpital,Warszawa,Szaserów
211202,Szaserów-Szpital,02,,52.250082,21.089155,0,,1,Szaserów-Szpital,Warszawa,Szaserów
211301,Dwernickiego,01,,52.248333,21.084233,0,,1,Dwernickiego,Warszawa,Wiatraczna
211304,Dwernickiego,04,,52.250251,21.085253,0,,1,Dwernickiego,Warszawa,Szaserów
213001,Os. Majdańska,01,,52.239958,21.081632,0,,1,Os. Majdańska,Warszawa,al. Stanów Zjednoczonych
213002,Os. Majdańska,02,,52.240902,21.08288,0,,1,Os. Majdańska,Warszawa,al. Stanów Zjednoczonych
226601,Hetmańska,01,,52.244987,21.110917,0,,1,Hetmańska,Warszawa,Szaserów
226602,Hetmańska,02,,52.245074,21.109894,0,,1,Hetmańska,Warszawa,Szaserów
226701,Podolska,01,,52.244348,21.115303,0,,1,Podolska,Warszawa,Szaserów
226702,Podolska,02,,52.244345,21.114362,0,,1,Podolska,Warszawa,Szaserów
226801,Szaserów,01,,52.244282,21.11788,0,,1,Szaserów,Warszawa,Szaserów
226802,Szaserów,02,,52.244188,21.118123,0,,1,Szaserów,Warszawa,Szaserów
236201,Gdecka,01,,52.2409,21.10116,0,,1,Gdecka,Warszawa,Zamieniecka
236202,Gdecka,02,,52.241017,21.101323,0,,1,Gdecka,Warszawa,Zamieniecka
239701,Cukrownicza,01,,52.242618,21.123401,0,,1,Cukrownicza,Warszawa,Makowska
239702,Cukrownicza,02,,52.24215,21.124182,0,,1,Cukrownicza,Warszawa,Makowska
300501,Park Dreszera,01,,52.197606,21.023818,0,,1,Park Dreszera,Warszawa,Puławska
300502,Park Dreszera,02,,52.198088,21.024261,0,,1,Park Dreszera,Warszawa,Puławska
301105,Al. Lotników,05,,52.173072,21.020948,0,,1,Al. Lotników,Warszawa,Wałbrzyska
301106,Al. Lotników,06,,52.173551,21.018959,0,,1,Al. Lotników,Warszawa,al. Lotników
301302,Poleczki,02,,52.15408,21.01796,0,,1,Poleczki,Warszawa,Puławska
301303,Poleczki,03,,52.15241,21.01924,0,,1,Poleczki,Warszawa,Pileckiego
301501,Sójki,01,,52.143081,21.017544,0,,1,Sójki,Warszawa,Puławska
301503,Sójki,03,,52.143455,21.018479,0,,1,Sójki,Warszawa,Płaskowickiej
301601,Żołny,01,,52.138447,21.017487,0,,1,Żołny,Warszawa,Puławska
301602,Żołny,02,,52.140452,21.018166,0,,1,Żołny,Warszawa,Puławska
301701,Bogatki,01,,52.131876,21.017773,0,,1,Bogatki,Warszawa,Puławska
301702,Bogatki,02,,52.132908,21.018181,0,,1,Bogatki,Warszawa,Puławska
301801,Łagiewnicka,01,,52.126961,21.017897,0,,1,Łagiewnicka,Warszawa,Puławska
