trip_id,route_id,service_id,shape_id,trip_short_name,trip_headsign,direction_id,wheelchair_accessible,hidden_block_id,brigade,fleet_type
2025-06-09:124:PcS:04:0809,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389299.0,04,G-np18m
2025-06-09:124:PcS:04:0843,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389299.0,04,G-np18m
2025-06-09:124:PcS:04:0909,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389299.0,04,G-np18m
2025-06-09:124:PcS:1:0758,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389300.0,1,G-np18m
2025-06-09:124:PcS:1:0824,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389300.0,1,G-np18m
2025-06-09:124:PcS:1:0858,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389300.0,1,G-np18m
2025-06-09:124:PcS:2:0813,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389301.0,2,G-np18m
2025-06-09:124:PcS:2:0839,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389301.0,2,G-np18m
2025-06-09:124:PcS:2:0918,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389301.0,2,G-np18m
2025-06-09:124:PcS:3:0754,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389302.0,3,G-np18m
2025-06-09:124:PcS:3:0828,124,2025-06-09:PcS,2025-06-09:179506,,Paluch,1,1,389302.0,3,G-np18m
2025-06-09:124:PcS:3:0854,124,2025-06-09:PcS,2025-06-09:179507,,PKP Rakowiec,0,1,389302.0,3,G-np18m
2025-06-09:141:PcS:012:0705,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396787.0,012,G-np18m
2025-06-09:141:PcS:012:0826,141,2025-06-09:PcS,2025-06-09:182747,,Witolin,0,1,396787.0,012,G-np18m
2025-06-09:141:PcS:11:0750,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396791.0,11,G-np18m
2025-06-09:141:PcS:1:0802,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396789.0,1,G-np18m
2025-06-09:141:PcS:2:0814,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396792.0,2,G-np18m
2025-06-09:141:PcS:3:0715,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396793.0,3,G-np18m
2025-06-09:141:PcS:3:0838,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396793.0,3,G-np18m
2025-06-09:141:PcS:4:0727,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396794.0,4,G-np18m
2025-06-09:141:PcS:4:0851,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396794.0,4,G-np18m
2025-06-09:141:PcS:5:0739,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396795.0,5,G-np18m
2025-06-09:141:PcS:5:0904,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396795.0,5,G-np18m
2025-06-09:141:PcS:6:0753,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396796.0,6,G-np18m
2025-06-09:141:PcS:6:0919,141,2025-06-09:PcS,2025-06-09:182744,,Witolin,0,1,396796.0,6,G-np18m
2025-06-09:141:PcS:7:0805,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396797.0,7,G-np18m
2025-06-09:141:PcS:8:0820,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396798.0,8,G-np18m
2025-06-09:141:PcS:9:0832,141,2025-06-09:PcS,2025-06-09:182743,,P+R Al. Krakowska,1,1,396799.0,9,G-np18m
2025-06-09:154:PcS:06:0825,154,2025-06-09:PcS,2025-06-09:184526,,P+R Al. Krakowska,0,1,402650.0,06,M-np12m
2025-06-09:154:PcS:1:0810,154,2025-06-09:PcS,2025-06-09:184525,,P+R Al. Krakowska,0,1,402651.0,1,M-np12m
2025-06-09:154:PcS:1:0901,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402651.0,1,M-np12m
2025-06-09:154:PcS:2:0754,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402652.0,2,M-np12m
2025-06-09:154:PcS:2:0840,154,2025-06-09:PcS,2025-06-09:184525,,P+R Al. Krakowska,0,1,402652.0,2,M-np12m
2025-06-09:154:PcS:2:0921,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402652.0,2,M-np12m
2025-06-09:154:PcS:3:0809,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402653.0,3,M-np12m
2025-06-09:154:PcS:3:0855,154,2025-06-09:PcS,2025-06-09:184525,,P+R Al. Krakowska,0,1,402653.0,3,M-np12m
2025-06-09:154:PcS:4:0740,154,2025-06-09:PcS,2025-06-09:184525,,P+R Al. Krakowska,0,1,402654.0,4,M-np12m
2025-06-09:154:PcS:4:0824,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402654.0,4,M-np12m
2025-06-09:154:PcS:5:0755,154,2025-06-09:PcS,2025-06-09:184525,,P+R Al. Krakowska,0,1,402655.0,5,M-np12m
2025-06-09:154:PcS:5:0839,154,2025-06-09:PcS,2025-06-09:184524,,Dw. Zachodni,1,1,402655.0,5,M-np12m
2025-06-09:175:PcS:400:0818,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377055.0,400,H-el18m
2025-06-09:175:PcS:400:0911,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377055.0,400,H-el18m
2025-06-09:175:PcS:401:0828,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377056.0,401,H-el18m
2025-06-09:175:PcS:401:0921,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377056.0,401,H-el18m
2025-06-09:175:PcS:402:0838,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377057.0,402,H-el18m
2025-06-09:175:PcS:403:0848,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377064.0,403,H-el18m
2025-06-09:175:PcS:410:0751,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377060.0,410,H-el18m
2025-06-09:175:PcS:411:0801,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377041.0,411,H-el18m
2025-06-09:175:PcS:412:0728,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377042.0,412,H-el18m
2025-06-09:175:PcS:412:0821,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377042.0,412,H-el18m
2025-06-09:175:PcS:413:0738,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377043.0,413,H-el18m
2025-06-09:175:PcS:413:0831,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377043.0,413,H-el18m
2025-06-09:175:PcS:414:0808,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377061.0,414,H-el18m
2025-06-09:175:PcS:414:0901,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377061.0,414,H-el18m
2025-06-09:175:PcS:705:0811,175,2025-06-09:PcS,2025-06-09:174177,,Pl. Piłsudskiego,0,1,377047.0,705,H-el18m
2025-06-09:175:PcS:706:0746,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377048.0,706,H-el18m
2025-06-09:175:PcS:706:0841,175,2025-06-09:PcS,2025-06-09:174177,,Pl. Piłsudskiego,0,1,377048.0,706,H-el18m
2025-06-09:175:PcS:707:0756,175,2025-06-09:PcS,2025-06-09:174155,,Lotnisko Chopina,1,1,377063.0,707,H-el18m
2025-06-09:175:PcS:707:0851,175,2025-06-09:PcS,2025-06-09:174156,,Pl. Piłsudskiego,0,1,377063.0,707,H-el18m
2025-06-09:188:PcS:010:0810,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377067.0,010,G-np18m
2025-06-09:188:PcS:011:0722,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377068.0,011,G-np18m
2025-06-09:188:PcS:011:0834,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377068.0,011,G-np18m
2025-06-09:188:PcS:012:0732,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377069.0,012,G-np18m
2025-06-09:188:PcS:012:0846,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377069.0,012,G-np18m
2025-06-09:188:PcS:013:0742,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377070.0,013,G-np18m
2025-06-09:188:PcS:013:0858,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377070.0,013,G-np18m
2025-06-09:188:PcS:07:0802,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377071.0,07,G-np18m
2025-06-09:188:PcS:07:0922,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377071.0,07,G-np18m
2025-06-09:188:PcS:08:0833,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377072.0,08,G-np18m
2025-06-09:188:PcS:09:0845,188,2025-06-09:PcS,2025-06-09:174192,,Lotnisko Chopina,1,1,377073.0,09,G-np18m
2025-06-09:188:PcS:1:0752,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377074.0,1,G-np18m
2025-06-09:188:PcS:1:0910,188,2025-06-09:PcS,2025-06-09:174159,,PKP Gocławek,0,1,377074.0,1,G-np18m
2025-06-09:188:PcS:2:0812,188,2025-06-09:PcS,2025-06-09:174160,,Lotnisko Chopina,1,1,377075.0,2,G-np18m
